Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
22.3500     -13491.5213  -13492.1680       0.6467   227.4
22.4000     -13491.3454  -13492.0664       0.7211   253.6
22.4500     -13491.3755  -13492.2725       0.8970   315.4
22.5000     -13491.2724  -13492.2119       0.9395   330.4
22.5500     -13491.2611  -13492.1865       0.9254   325.4
22.6000     -13491.1963  -13492.3164       1.1201   393.9
22.6500     -13491.6827  -13492.4902       0.8076   284.0
22.7000     -13491.2303  -13492.2871       1.0568   371.6
22.7500     -13491.4509  -13492.4736       1.0227   359.6
22.8000     -13491.3927  -13492.4062       1.0136   356.4
22.8500     -13491.2687  -13492.3252       1.0565   371.5
22.9000     -13491.4066  -13492.2891       0.8825   310.3
22.9500     -13491.5893  -13492.3438       0.7544   265.3
23.0000     -13491.2799  -13492.5088       1.2289   432.1
23.0500     -13491.2404  -13492.2959       1.0555   371.2
23.1000     -13491.4704  -13492.2275       0.7571   266.2
23.1500     -13491.4425  -13492.3984       0.9559   336.1
23.2000     -13491.2877  -13492.3086       1.0209   359.0
23.2500     -13491.3247  -13492.1299       0.8052   283.2
23.3000     -13491.6425  -13492.5303       0.8878   312.2
23.3500     -13491.4061  -13492.1445       0.7384   259.7
23.4000     -13491.3098  -13492.4697       1.1599   407.9
23.4500     -13491.1685  -13492.0215       0.8530   299.9
23.5000     -13491.4609  -13492.5576       1.0967   385.7
23.5500     -13491.4925  -13492.3428       0.8503   299.0
23.6000     -13491.5628  -13492.3467       0.7839   275.7
23.6500     -13491.3835  -13492.3818       0.9983   351.1
23.7000     -13491.3477  -13492.3789       1.0312   362.6
23.7500     -13491.3540  -13492.3105       0.9565   336.4
23.8000     -13491.4243  -13492.3076       0.8833   310.6
23.8500     -13491.5177  -13492.3994       0.8817   310.1
23.9000     -13491.2571  -13492.4238       1.1667   410.3
23.9500     -13491.1401  -13492.2637       1.1236   395.1
24.0000     -13491.0510  -13492.1338       1.0828   380.8
24.0500     -13491.1051  -13492.0381       0.9330   328.1
24.1000     -13491.1812  -13492.1055       0.9243   325.0
24.1500     -13491.4814  -13492.3633       0.8818   310.1
24.2000     -13491.4247  -13492.3008       0.8761   308.1
24.2500     -13491.3314  -13492.2559       0.9245   325.1
24.3000     -13491.7127  -13492.4004       0.6877   241.8
24.3500     -13491.4194  -13492.3057       0.8863   311.7
24.4000     -13491.4557  -13492.5078       1.0521   370.0
24.4500     -13491.7429  -13492.4473       0.7044   247.7
24.5000     -13491.4432  -13492.2021       0.7589   266.9
24.5500     -13491.2028  -13492.2842       1.0814   380.3
24.6000     -13491.5669  -13492.3545       0.7875   276.9
24.6500     -13491.2897  -13492.3809       1.0912   383.7
