phi_degree,psi_degree,free_energy_kj_mol,samples
-137.5,-167.5,5.7728814733799245,13.0
-132.5,-167.5,7.233711112227246,60.0
-127.50000000000001,-167.5,9.065770435677887,26.0
-122.50000000000001,-167.5,10.963457004303953,0.0
-117.50000000000001,-167.5,12.682404334671013,23.0
-112.5,-167.5,14.07252167511879,0.0
-107.5,-167.5,15.035156047607618,28.0
-102.5,-167.5,15.457879290718706,9.0
-97.5,-167.5,15.224955928303878,0.0
-92.50000000000001,-167.5,14.356551014359606,29.0
-87.5,-167.5,13.146018489232253,47.0
-82.50000000000001,-167.5,12.083792855014346,3.0
-77.5,-167.5,11.603771506817864,10.0
-72.5,-167.5,11.914996490557995,17.0
-67.5,-167.5,12.999324842163924,87.0
-62.50000000000001,-167.5,14.624028972713672,0.0
-57.500000000000014,-167.5,16.366760876757102,0.0
-52.500000000000014,-167.5,17.79304824835775,0.0
-47.5,-167.5,18.693626586126957,0.0
-42.5,-167.5,19.134709552465008,0.0
-37.50000000000001,-167.5,19.307101902565847,0.0
-32.500000000000014,-167.5,19.36902805144918,0.0
-27.499999999999993,-167.5,19.397573258781556,0.0
-22.5,-167.5,19.415299611687608,0.0
-17.500000000000007,-167.5,19.425808674506865,0.0
-12.50000000000001,-167.5,19.430761877060533,0.0
-7.500000000000017,-167.5,19.432547394529085,0.0
-2.4999999999999973,-167.5,19.433026063517502,0.0
2.4999999999999973,-167.5,19.433005768968147,0.0
7.499999999999991,-167.5,19.432145164988402,0.0
12.499999999999986,-167.5,19.427300696098655,0.0
17.500000000000007,-167.5,19.406294621237844,0.0
22.5,-167.5,19.33463380752696,0.0
27.499999999999993,-167.5,19.141477457318484,0.0
32.499999999999986,-167.5,18.728185203792552,0.0
37.499999999999986,-167.5,18.022955457599124,0.0
42.5,-167.5,17.061293677837725,4.0
47.5,-167.5,16.020471242754628,24.0
52.49999999999999,-167.5,15.15707363109274,28.0
57.499999999999986,-167.5,14.689787664194956,14.0
62.49999999999998,-167.5,14.723113123996756,6.0
67.49999999999997,-167.5,15.241389096809025,0.0
72.49999999999997,-167.5,16.115578007464162,0.0
77.50000000000001,-167.5,17.113657396771455,0.0
82.50000000000001,-167.5,17.98336829601022,0.0
87.5,-167.5,18.58378781835496,0.0
92.5,-167.5,18.932582520701143,0.0
97.49999999999999,-167.5,19.128634368633982,0.0
102.49999999999999,-167.5,19.253019009292323,0.0
107.49999999999999,-167.5,19.336791428077966,0.0
112.49999999999997,-167.5,19.38044628853882,0.0
117.49999999999997,-167.5,19.365961018356064,0.0
122.50000000000001,-167.5,19.23506928905735,0.0
127.50000000000001,-167.5,18.861849934235206,0.0
132.5,-167.5,18.088373651881888,0.0
137.5,-167.5,16.864563222644183,0.0
142.5,-167.5,15.38811784580474,13.0
147.49999999999997,-167.5,14.033101898650612,58.0
152.49999999999997,-167.5,13.051923024147856,23.0
157.49999999999997,-167.5,12.364163874210758,23.0
162.49999999999997,-167.5,11.677143842490443,16.0
167.5,-167.5,10.770387214782387,25.0
172.5,-167.5,9.645530757374662,68.0
177.5,-167.5,8.470112671733133,106.0
-177.5,-162.5,9.081778427452667,30.0
-172.5,-162.5,8.164438519945433,57.0
-167.5,-162.5,7.375474527407187,35.0
-162.5,-162.5,6.772009596884591,82.0
-157.5,-162.5,6.315401764368681,93.0
-152.5,-162.5,5.977719460340455,56.0
-147.5,-162.5,5.911763720665631,53.0
-142.5,-162.5,6.400359972080675,86.0
-137.5,-162.5,7.5713291874167705,38.0
-132.5,-162.5,9.226101976993915,2.0
-127.50000000000001,-162.5,10.991581119717798,9.0
-122.50000000000001,-162.5,12.584091495409135,1.0
-117.50000000000001,-162.5,13.896520738123854,23.0
-112.5,-162.5,14.907026911756105,0.0
-107.5,-162.5,15.583836451141579,0.0
-102.5,-162.5,15.860131554440953,0.0
-97.5,-162.5,15.660795044562889,0.0
-92.50000000000001,-162.5,14.996746332306095,9.0
-87.5,-162.5,14.073748703615838,0.0
-82.50000000000001,-162.5,13.260725554459501,35.0
-77.5,-162.5,12.915090280982046,14.0
-72.5,-162.5,13.239913828256372,25.0
-67.5,-162.5,14.232163106699927,21.0
-62.50000000000001,-162.5,15.660254894614809,0.0
-57.500000000000014,-162.5,17.124600048191745,0.0
-52.500000000000014,-162.5,18.26354114655566,0.0
-47.5,-162.5,18.945683830991474,0.0
-42.5,-162.5,19.262238093261033,0.0
-37.50000000000001,-162.5,19.377470105210616,0.0
-32.500000000000014,-162.5,19.41244736023474,0.0
-27.499999999999993,-162.5,19.42359961591252,0.0
-22.5,-162.5,19.428634571400863,0.0
-17.500000000000007,-162.5,19.431320621657793,0.0
-12.50000000000001,-162.5,19.43256212963851,0.0
-7.500000000000017,-162.5,19.43300773130431,0.0
-2.4999999999999973,-162.5,19.43310849762225,0.0
2.4999999999999973,-162.5,19.43293056797316,0.0
7.499999999999991,-162.5,19.431517760260313,0.0
12.499999999999986,-162.5,19.42386168859655,0.0
17.500000000000007,-162.5,19.391659961639487,0.0
22.5,-162.5,19.286200417847702,0.0
27.499999999999993,-162.5,19.0169972433595,0.0
32.499999999999986,-162.5,18.480232914830577,0.0
37.499999999999986,-162.5,17.640969546451416,0.0
42.5,-162.5,16.606031045627493,10.0
47.5,-162.5,15.595873516179878,21.0
52.49999999999999,-162.5,14.831030253428018,16.0
57.499999999999986,-162.5,14.450247883570643,11.0
62.49999999999998,-162.5,14.51357297839563,12.0
67.49999999999997,-162.5,15.023560969253582,16.0
72.49999999999997,-162.5,15.89700930850155,0.0
77.50000000000001,-162.5,16.929018054498002,0.0
